                                                                                                         i                  
                                                                                                         m                  
                                                                                                         a              w   
                                                                                                         g              o   
                                                                                                         e              r  w
                                                                                                         -              k  s
                                                                                                         c           v  s  -
                                                                                                         r  m        a  p  e
                                                                                                         e  i        l  a  x
                                                                                                         a  g        i  c  p
                                                                                                         t  r  s     d  e  l
                                                                                                a  d  f  o  a  h     a  -  o
                                                                                                n  e  i  r  t  e  t  t  c  r
                                                                                                t  p  l  -  o  l  a  o  l  e
  library                      version    type      KB   poly  polyx   dev  default  extended   q  s  e  x  r  l  p  r  j  r
  ----------------------------------------------------   -----------   ----------------------   ----------------------------
  borkdude/edamame             1.3.23     maven     24    x      x      x      -        -       .  .  x  .  .  .  .  .  .  .
  clj-commons/fs               1.6.310    maven     12    x      x      x      -        -       .  .  x  .  .  .  .  .  .  .
  clojure2d/clojure2d          1.4.5      maven  2,215    -      x      -      -        x       .  .  .  x  .  .  .  .  .  .
  com.github.liquidz/antq      2.8.1173   maven     52    x      x      x      -        -       x  .  .  .  .  .  .  .  .  .
  djblue/portal                0.51.1     maven  1,847    x      x      x      -        -       .  .  .  .  .  .  x  .  .  .
  metosin/malli                0.14.0     maven     88    x      x      x      -        -       .  .  .  .  .  .  .  x  .  .
  mvxcvi/puget                 1.3.4      maven     15    x      x      x      -        -       .  .  .  .  .  .  .  .  .  x
  org.clojure/clojure          1.11.1     maven  4,008    x      x      x      -        -       .  .  .  .  .  .  .  .  .  .
  org.clojure/tools.deps       0.18.1398  maven     58    x      x      x      -        -       .  x  x  .  .  .  .  .  x  .
  org.jline/jline              3.25.0     maven  1,226    x      x      x      -        -       .  .  .  .  .  x  .  .  .  .
  org.slf4j/slf4j-nop          2.0.11     maven      4    x      x      x      -        -       .  .  .  .  .  .  .  .  .  .
  pjstadig/humane-test-output  0.11.0     maven      7    t      -      -      -        -       .  .  .  .  .  .  .  .  .  .
  rewrite-clj/rewrite-clj      1.1.47     maven     73    -      -      x      -        -       .  .  .  .  .  .  .  .  .  .
  zprint/zprint                1.2.8      maven    211    x      x      x      -        -       .  .  .  .  x  .  .  .  .  .
